first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,970,602,2061,0,1,0,sov,PM,1.1,0,1,0,0,0,14,18,18.0088,18.0088,8.1649,602;202908;202909;202606;202617;202618;202588;202602;202604;202730;202729;202514;202515;2061;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201294BA;201335AB;201105AB;201518AB;201501BA;201529BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.388740 33.646884, -112.376931 33.653079, -112.384710 33.658775)",,,,
,971,602,2125,0,1,0,sov,PM,1.1,0,1,1,0,0,21,25.6,25.6246,25.6246,13.2988,602;202908;202909;202606;202617;202618;202588;202602;202584;202612;202611;202580;202576;202575;202577;202790;202809;202796;202925;202923;2125;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201325AB;201330AB;201275AB;201343AB;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201005BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.418026 33.640486, -112.418240 33.640639, -112.407114 33.677112, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.474416 33.729884)",,,,
,972,602,2136,0,1,0,sov,PM,1.1,0,1,1,0,0,23,24.1,24.1059,24.1059,12.2444,602;202908;202909;202606;202617;202618;202588;202602;202584;202612;202611;202580;202576;202575;202577;202790;202809;202476;202480;202482;202475;202474;2136;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201325AB;201330AB;201275AB;201343AB;201354BA;201353BA;201351BA;201346BA;201065BA;201604BA;201605AB;201597BA;201610AB;201615BA;201613BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.418026 33.640486, -112.418240 33.640639, -112.407114 33.677112, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.409310 33.696656, -112.409303 33.712999, -112.412297 33.724658, -112.404888 33.724662, -112.404232 33.724651, -112.403456 33.731610)",,,,
,973,602,2137,0,1,0,sov,PM,1.1,0,1,1,0,0,25,27.2,27.2075,27.2075,14.2056,602;202908;202909;202606;202617;202618;202588;202602;202584;202612;202611;202580;202576;202575;202577;202790;202809;202476;202480;202482;202475;202474;202484;202485;2137;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201325AB;201330AB;201275AB;201343AB;201354BA;201353BA;201351BA;201346BA;201065BA;201604BA;201605AB;201597BA;201610AB;201615BA;201614AB;201592BA;201639BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.418026 33.640486, -112.418240 33.640639, -112.407114 33.677112, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.409310 33.696656, -112.409303 33.712999, -112.412297 33.724658, -112.404888 33.724662, -112.404232 33.724651, -112.394627 33.724719, -112.377266 33.724753, -112.385962 33.731851)",,,,
,974,602,2142,0,1,0,sov,PM,1.1,0,1,1,0,0,19,22,22.0378,22.0378,10.5681,602;202908;202909;202606;202617;202618;202588;202602;202584;202612;202611;202580;202576;202575;202577;202790;202809;202796;2142;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201325AB;201330AB;201275AB;201343AB;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201603BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.418026 33.640486, -112.418240 33.640639, -112.407114 33.677112, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.426521 33.711249)",,,,
,975,602,2146,0,1,0,sov,PM,1.1,0,1,1,0,0,22,24.2,24.2157,24.2157,12.9491,602;202908;202909;202606;202617;202618;202588;202602;202584;202612;202611;202580;202576;202575;202577;202790;202809;202796;202925;202924;202831;2146;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201325AB;201330AB;201275AB;201343AB;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;200985AB;200989BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.418026 33.640486, -112.418240 33.640639, -112.407114 33.677112, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.463132 33.718526, -112.464659 33.717140)",,,,
,976,602,2147,0,1,0,sov,PM,1.1,0,1,1,0,0,25,27.4,27.3944,27.3944,14.2679,602;202908;202909;202606;202617;202618;202588;202602;202584;202612;202611;202580;202576;202575;202577;202790;202809;202476;202480;202482;202475;202474;202484;202485;2147;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201325AB;201330AB;201275AB;201343AB;201354BA;201353BA;201351BA;201346BA;201065BA;201604BA;201605AB;201597BA;201610AB;201615BA;201614AB;201592BA;201633BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.418026 33.640486, -112.418240 33.640639, -112.407114 33.677112, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.409310 33.696656, -112.409303 33.712999, -112.412297 33.724658, -112.404888 33.724662, -112.404232 33.724651, -112.394627 33.724719, -112.377266 33.724753, -112.369061 33.716073)",,,,
,977,602,2197,0,1,0,sov,PM,1.1,0,1,0,0,0,16,18.1,18.0566,18.0566,8.0993,602;202908;202909;202606;202617;202618;202588;202602;202604;202730;202729;202511;202509;202508;202513;2197;,200917AB;200831BA;201280BA;201286BA;201271BA;201320AB;201317BA;201294BA;201335AB;201105AB;201517AB;201520AB;201509AB;201526AB;201507BA;,"LINESTRING (-112.481753 33.611509, -112.461442 33.638386, -112.452687 33.638513, -112.435072 33.638808, -112.433938 33.638784, -112.426743 33.638872, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.385342 33.638720, -112.381016 33.638649, -112.376811 33.638616, -112.368074 33.638628, -112.368001 33.631027)",,,,
,978,615,1,1,2,0,sov,PM,1.05,0,1,1,0,0,16,19.1,19.1375,19.1375,12.6465,615;202905;202904;202796;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202747;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201089AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.313302 33.707018)",,,,
,979,615,1,0,1,0,sov,PM,1.15,0,1,1,0,0,17,18.2,18.1866,18.1866,11.9958,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202747;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201089AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.313302 33.707018)",,,,
,980,615,2,0,1,0,sov,PM,0.8,0,1,2,2,0,15,30.3,30.3256,30.3256,11.7442,615;202825;202924;202925;202796;202734;202735;202504;202516;202525;202499;202500;202782;202783;202354;,200997AB;201001BA;200820BA;201595AB;detour-linka;201102BA;201533AB;201541BA;201500AB;201558AB;201549BA;201574BA;201070BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342096 33.638688, -112.334501 33.638522, -112.324760 33.638727, -112.310974 33.638683)",,,,
,981,615,2,6,7,0,sov,PM,1.06,0,1,2,1,0,20,25.3,25.3081,25.3081,12.8371,615;202905;202904;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202500;202782;202783;202354;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201549BA;201574BA;201070BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342096 33.638688, -112.334501 33.638522, -112.324760 33.638727, -112.310974 33.638683)",,,,
,982,615,2,4,5,0,sov,PM,1.88,0,1,2,1,0,21,24.4,24.3572,24.3572,12.1863,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202500;202782;202783;202354;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201549BA;201574BA;201070BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342096 33.638688, -112.334501 33.638522, -112.324760 33.638727, -112.310974 33.638683)",,,,
,983,615,2,1,2,0,sov,PM,1.53,0,1,2,1,0,22,25.8,25.7965,25.7965,13.2411,615;202905;202904;202796;202809;202790;202577;202575;202576;202580;202734;202735;202506;202505;202519;202518;202517;202523;202522;202782;202783;202354;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201537AB;201536BA;201531BA;201530AB;201497AB;201581AB;201494AB;201573AB;201070BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.387473 33.671728, -112.379549 33.672571, -112.371726 33.670753, -112.364881 33.665829, -112.358748 33.661900, -112.348458 33.654638, -112.337504 33.649679, -112.334501 33.638522, -112.324760 33.638727, -112.310974 33.638683)",,,,
,984,615,2,5,6,0,sov,PM,1.08,0,1,2,1,0,23,24.8,24.8456,24.8456,12.5904,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202506;202505;202519;202518;202517;202523;202522;202782;202783;202354;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201537AB;201536BA;201531BA;201530AB;201497AB;201581AB;201494AB;201573AB;201070BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.387473 33.671728, -112.379549 33.672571, -112.371726 33.670753, -112.364881 33.665829, -112.358748 33.661900, -112.348458 33.654638, -112.337504 33.649679, -112.334501 33.638522, -112.324760 33.638727, -112.310974 33.638683)",,,,
,985,615,2,2,3,0,sov,PM,0.96,0,1,2,1,0,23,27.7,27.7246,27.7246,16.1879,615;202905;202904;202796;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202788;202789;202804;202785;202803;202370;202783;202354;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.310974 33.638683)",,,,
,986,615,2,3,4,0,sov,PM,1,0,1,2,1,0,24,26.8,26.7737,26.7737,15.5371,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202788;202789;202804;202785;202803;202370;202783;202354;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201645BA;201090AB;201849AB;201844BA;201847AB;201810AB;201827BA;201823AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.325834 33.674807, -112.325524 33.667625, -112.325009 33.653237, -112.324998 33.649988, -112.324760 33.638727, -112.310974 33.638683)",,,,
,987,615,3,0,1,0,sov,PM,0.76,0,1,2,2,0,13,27.9,27.8565,27.8565,11.013,615;202825;202924;202925;202796;202734;202735;202504;202516;202525;202499;202497;202780;,200997AB;201001BA;200820BA;201595AB;detour-linka;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201564AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.330766 33.623526)",,,,
,988,615,3,2,3,0,sov,PM,1.06,0,1,2,1,0,18,22.8,22.8391,22.8391,12.1058,615;202905;202904;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202780;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201564AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.330766 33.623526)",,,,
,989,615,3,3,4,0,sov,PM,1.1,0,1,2,1,0,19,21.9,21.8881,21.8881,11.4551,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202780;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201564AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.330766 33.623526)",,,,
,990,615,3,1,2,0,sov,PM,1.06,0,1,2,1,0,19,22.8,22.8105,22.8105,12.1374,615;202905;202904;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202498;202495;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201568BA;201562AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.342079 33.632787, -112.330326 33.624071)",,,,
,991,615,3,4,5,0,sov,PM,1.53,0,1,2,1,0,20,21.9,21.8595,21.8595,11.4866,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202498;202495;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201568BA;201562AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.342079 33.632787, -112.330326 33.624071)",,,,
,992,615,8,1,2,0,sov,PM,1.07,0,1,1,0,0,18,21.8,21.7926,21.7926,13.163,615;202905;202904;202796;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202788;202789;202806;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201645BA;201090AB;201848AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.313380 33.681851)",,,,
,993,615,8,0,1,0,sov,PM,1.16,0,1,1,0,0,19,20.8,20.8417,20.8417,12.5122,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202579;202753;202752;202487;202467;202748;202788;202789;202806;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201350AB;201349AB;201086AB;201590AB;201634AB;201642AB;201645BA;201090AB;201848AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.405285 33.678920, -112.403023 33.681234, -112.396280 33.687252, -112.389369 33.692288, -112.359900 33.696558, -112.334078 33.698246, -112.334084 33.692359, -112.325928 33.681420, -112.313380 33.681851)",,,,
,994,615,9,0,1,0,sov,PM,0.75,0,1,2,2,0,13,26.9,26.9356,26.9356,10.4409,615;202825;202924;202925;202796;202734;202735;202504;202516;202525;202499;202497;202501;,200997AB;201001BA;200820BA;201595AB;detour-linka;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201563AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.341961 33.627740)",,,,
,995,615,9,1,2,0,sov,PM,1.44,0,1,2,1,0,18,21.9,21.9182,21.9182,11.5337,615;202905;202904;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202501;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201563AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.341961 33.627740)",,,,
,996,615,9,2,3,0,sov,PM,1.5,0,1,2,1,0,19,21,20.9673,20.9673,10.883,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202497;202501;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201551AB;201563AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.342088 33.632453, -112.341961 33.627740)",,,,
,997,615,10,0,1,0,sov,PM,0.76,0,1,2,2,0,15,27.5,27.4807,27.4807,10.6857,615;202825;202924;202925;202796;202734;202735;202504;202516;202525;202499;202502;202512;202521;202496;,200997AB;201001BA;200820BA;201595AB;detour-linka;201102BA;201533AB;201541BA;201500AB;201558AB;201559AB;201560BA;201548AB;201557AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.359366 33.631134, -112.359348 33.628814)",,,,
,998,615,10,1,2,0,sov,PM,1.06,0,1,2,1,0,20,22.5,22.4632,22.4632,11.7786,615;202905;202904;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202502;202512;202521;202496;,200846AB;200833AB;201061BA;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201559AB;201560BA;201548AB;201557AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.359366 33.631134, -112.359348 33.628814)",,,,
,999,615,10,2,3,0,sov,PM,1.49,0,1,2,1,0,21,21.5,21.5123,21.5123,11.1278,615;202825;202924;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;202499;202502;202512;202521;202496;,200997AB;201001BA;200820BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201558AB;201559AB;201560BA;201548AB;201557AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.350235 33.638677, -112.355060 33.638642, -112.359398 33.638646, -112.359366 33.631134, -112.359348 33.628814)",,,,
,1000,615,12,0,1,0,sov,PM,0.74,0,1,2,2,0,14,26.6,26.6337,26.6337,10.4032,615;202825;202924;202925;202796;202734;202735;202733;202732;202619;202730;202729;202744;202728;,200997AB;201001BA;200820BA;201595AB;detour-linka;201102BA;201532AB;201103AB;201270AB;201334BA;201105AB;201508AB;201514AB;,"LINESTRING (-112.462040 33.693113, -112.464113 33.711342, -112.463132 33.711342, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.393926 33.624102)",,,,
,1001,615,12,1,2,0,sov,PM,1.05,0,1,2,1,0,17,21.6,21.5828,21.5828,11.8688,615;202905;202904;202796;202809;202790;202608;202607;202586;202585;202588;202602;202604;202730;202729;202744;202728;,200846AB;200833AB;201061BA;201606AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201508AB;201514AB;,"LINESTRING (-112.462040 33.693113, -112.478594 33.682073, -112.440810 33.682018, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.393926 33.624102)",,,,
