first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,2883,2137,602,0,1,0,sov,PM,1.1,0,1,1,0,0,21,26.5,26.5445,26.5445,13.8983,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202608;202607;202586;202585;202588;202618;202617;202606;202909;202908;602;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201280AB;200831AB;200917BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.452687 33.638513, -112.461442 33.638386, -112.481753 33.611509)",,,,
,2884,2137,615,0,1,0,sov,PM,1.1,0,1,0,0,0,14,19.3,19.3323,19.3323,10.6615,2137;202485;202484;202474;202475;202482;202480;202476;202809;202796;202925;202924;202825;615;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,2885,2137,617,0,1,0,sov,PM,1,0,0,0,0,0,9,9.3,9.2682,9.2682,4.9936,2137;202485;202484;202474;202475;202482;202481;202477;617;,201639AB;201592AB;201614BA;201615AB;201610BA;201596AB;201601BA;201602BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.429623 33.724665, -112.437714 33.724657, -112.441006 33.733257)",,,,
,2886,2137,619,0,1,0,sov,PM,1,0,0,0,0,0,4,6.7,6.7074,6.7074,2.8692,2137;202485;202484;619;,201639AB;201592AB;201594BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.395386 33.710522)",,,,
,2887,2137,620,0,1,0,sov,PM,1,0,1,0,0,0,10,13.3,13.3495,13.3495,6.8468,2137;202485;202484;202474;202475;202482;202480;202476;202809;620;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201046BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.433183 33.684132)",,,,
,2888,2137,621,0,1,0,sov,PM,1.1,0,1,1,0,0,20,18.2,18.2213,18.2213,9.6201,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202733;202731;202581;621;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201104AB;201338BA;201340BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.401189 33.668896, -112.415733 33.672911, -112.425654 33.670727)",,,,
,2889,2137,622,1,2,0,sov,PM,1.11,0,1,1,0,0,18,18.8,18.8143,18.8143,10.6166,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202608;202607;202586;202585;202588;202618;202617;622;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201284BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.434703 33.645963)",,,,
,2890,2137,622,0,1,0,sov,PM,1.09,0,1,1,0,0,20,19,18.9814,18.9814,10.8269,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202608;202607;202586;202585;202588;202618;202617;202606;202615;622;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201285AB;201287BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.434326 33.645281, -112.434703 33.645963)",,,,
,2891,2137,623,0,1,0,sov,PM,1.1,0,1,1,0,0,19,15.8,15.8233,15.8233,8.4057,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202733;202731;623;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201104AB;201341BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.401189 33.668896, -112.402538 33.665005)",,,,
,2892,2137,624,0,1,0,sov,PM,1.1,0,1,1,0,0,19,17.5,17.5214,17.5214,9.3252,2137;202485;202484;202474;202475;202482;202480;202476;202809;202790;202577;202575;202576;202580;202734;202735;202733;202732;624;,201639AB;201592AB;201614BA;201615AB;201610BA;201597AB;201605BA;201604AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201103AB;201266BA;,"LINESTRING (-112.385962 33.731851, -112.377266 33.724753, -112.394627 33.724719, -112.404232 33.724651, -112.404888 33.724662, -112.412297 33.724658, -112.409303 33.712999, -112.409310 33.696656, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.398425 33.646390)",,,,
